fan_id,favorite_team,signup_date,watched_games,churned,cancel_date
1,PHX,2023-10-28,7,1,2024-01-21
2,MEM,2023-10-14,12,0,
3,LAL,2023-10-01,15,0,
4,NYK,2023-10-14,16,0,
5,GSW,2023-10-25,6,1,2023-11-10
6,NYK,2023-10-13,5,1,2023-12-22
7,DAL,2023-10-07,14,0,
8,PHI,2023-10-16,20,0,
9,ATL,2023-10-19,19,0,
10,BOS,2023-10-07,10,0,
11,PHI,2023-10-11,7,1,2023-12-28
12,DEN,2023-10-07,14,0,
13,CHI,2023-10-19,5,1,2023-12-09
14,PHX,2023-10-14,15,0,
15,PHX,2023-10-26,4,1,2023-12-04
16,TOR,2023-10-23,8,0,
17,SAC,2023-10-22,7,1,2023-12-03
18,GSW,2023-10-19,19,0,
19,DEN,2023-10-23,5,1,2023-11-15
20,DEN,2023-10-28,9,0,
21,DAL,2023-10-07,18,0,
22,PHI,2023-10-17,3,1,2023-11-05
23,PHI,2023-10-16,3,1,2024-01-02
24,TOR,2023-10-06,9,0,
25,TOR,2023-10-22,16,0,
26,BOS,2023-10-01,18,0,
27,GSW,2023-10-02,18,0,
28,HOU,2023-10-23,19,0,
29,MEM,2023-10-28,5,1,2023-12-01
30,PHX,2023-10-03,3,1,2023-10-23
31,DAL,2023-10-08,3,1,2023-12-31
32,PHI,2023-10-18,5,1,2023-11-04
33,TOR,2023-10-11,6,1,2023-10-26
34,PHI,2023-10-26,12,0,
35,TOR,2023-10-20,16,0,
36,DEN,2023-10-19,6,1,2023-11-08
37,CHI,2023-10-11,20,0,
38,MIA,2023-10-07,6,1,2023-12-07
39,SAC,2023-10-13,14,0,
40,PHX,2023-10-22,14,0,
41,SAC,2023-10-07,10,0,
42,LAL,2023-10-15,7,1,2023-12-13
43,MIL,2023-10-13,7,1,2023-12-10
44,MEM,2023-10-04,18,0,
45,CHI,2023-10-17,19,0,
46,DAL,2023-10-26,4,1,2023-12-08
47,TOR,2023-10-13,20,0,
48,MEM,2023-10-01,6,1,2023-12-16
49,MIL,2023-10-12,8,0,
50,PHI,2023-10-17,8,0,
51,PHI,2023-10-04,9,0,
52,CHI,2023-10-26,9,0,
53,MEM,2023-10-28,20,0,
54,SAC,2023-10-16,4,1,2023-11-24
55,PHX,2023-10-09,10,0,
56,HOU,2023-10-13,6,1,2023-12-19
57,CHI,2023-10-19,3,1,2023-11-24
58,CHI,2023-10-23,18,0,
59,MIA,2023-10-06,4,1,2023-11-16
60,MIL,2023-10-02,18,0,
61,LAL,2023-10-24,20,0,
62,PHX,2023-10-11,3,1,2023-11-18
63,HOU,2023-10-25,20,0,
64,SAC,2023-10-13,3,1,2024-01-08
65,ATL,2023-10-14,14,0,
66,CHI,2023-10-27,12,0,
67,PHX,2023-10-02,9,0,
68,NYK,2023-10-28,12,0,
69,ATL,2023-10-13,10,0,
70,MIA,2023-10-27,10,0,
71,DEN,2023-10-10,18,0,
72,HOU,2023-10-22,17,0,
73,PHX,2023-10-04,18,0,
74,BOS,2023-10-20,4,1,2023-12-29
75,BOS,2023-10-19,14,0,
76,DAL,2023-10-26,11,0,
77,MIA,2023-10-22,7,1,2023-12-24
78,DEN,2023-10-25,20,0,
79,PHI,2023-10-10,7,1,2023-12-26
80,MIL,2023-10-26,20,0,
81,HOU,2023-10-26,17,0,
82,BOS,2023-10-24,17,0,
83,DAL,2023-10-16,7,1,2023-12-11
84,GSW,2023-10-03,5,1,2023-10-28
85,NYK,2023-10-13,15,0,
86,BOS,2023-10-15,11,0,
87,HOU,2023-10-13,8,0,
88,TOR,2023-10-04,4,1,2023-12-23
89,CHI,2023-10-01,5,1,2023-11-04
90,CHI,2023-10-03,19,0,
91,DEN,2023-10-03,11,0,
92,HOU,2023-10-26,12,0,
93,TOR,2023-10-28,16,0,
94,MIA,2023-10-09,3,1,2023-11-15
95,DAL,2023-10-25,15,0,
96,TOR,2023-10-03,6,1,2023-11-01
97,MIL,2023-10-23,16,0,
98,MIA,2023-10-03,4,1,2023-10-27
99,LAL,2023-10-20,5,1,2024-01-10
100,GSW,2023-10-04,10,0,
101,HOU,2023-10-13,20,0,
102,PHX,2023-10-16,12,0,
103,MEM,2023-10-05,12,0,
104,PHX,2023-10-06,4,1,2023-11-12
105,ATL,2023-10-16,12,0,
106,DEN,2023-10-06,10,0,
107,PHX,2023-10-01,3,1,2023-11-07
108,DAL,2023-10-02,3,1,2023-12-04
109,PHX,2023-10-28,16,0,
110,DAL,2023-10-08,19,0,
111,NYK,2023-10-11,16,0,
112,MEM,2023-10-26,17,0,
113,CHI,2023-10-01,4,1,2023-10-17
114,BOS,2023-10-26,9,0,
115,MIA,2023-10-16,8,0,
116,MIL,2023-10-21,14,0,
117,HOU,2023-10-14,18,0,
118,MEM,2023-10-04,19,0,
119,DEN,2023-10-10,11,0,
120,ATL,2023-10-11,8,0,
121,PHI,2023-10-17,18,0,
122,PHX,2023-10-28,10,0,
123,GSW,2023-10-15,12,0,
124,MEM,2023-10-28,9,0,
125,HOU,2023-10-21,20,0,
126,PHI,2023-10-01,13,0,
127,MIA,2023-10-13,15,0,
128,NYK,2023-10-12,13,0,
129,TOR,2023-10-17,5,1,2023-12-22
130,DAL,2023-10-18,20,0,
131,BOS,2023-10-07,14,0,
132,CHI,2023-10-12,17,0,
133,PHI,2023-10-02,17,0,
134,SAC,2023-10-15,6,1,2023-11-21
135,MEM,2023-10-14,4,1,2023-12-10
136,NYK,2023-10-14,8,0,
137,NYK,2023-10-24,13,0,
138,GSW,2023-10-18,13,0,
139,LAL,2023-10-20,9,0,
140,NYK,2023-10-02,13,0,
141,HOU,2023-10-28,17,0,
142,ATL,2023-10-17,10,0,
143,ATL,2023-10-08,8,0,
144,MEM,2023-10-08,18,0,
145,DEN,2023-10-05,16,0,
146,GSW,2023-10-16,13,0,
147,HOU,2023-10-28,12,0,
148,DEN,2023-10-18,10,0,
149,MEM,2023-10-08,17,0,
150,BOS,2023-10-24,10,0,
151,ATL,2023-10-25,18,0,
152,CHI,2023-10-07,7,1,2023-11-16
153,TOR,2023-10-19,16,0,
154,SAC,2023-10-21,8,0,
155,PHI,2023-10-25,7,1,2024-01-08
156,MIL,2023-10-01,7,1,2023-11-14
157,PHX,2023-10-06,8,0,
158,PHI,2023-10-23,15,0,
159,GSW,2023-10-27,19,0,
160,CHI,2023-10-18,9,0,
161,GSW,2023-10-28,3,1,2023-11-21
162,ATL,2023-10-23,10,0,
163,SAC,2023-10-25,11,0,
164,LAL,2023-10-25,15,0,
165,TOR,2023-10-08,5,1,2023-11-16
166,SAC,2023-10-05,15,0,
167,SAC,2023-10-10,10,0,
168,ATL,2023-10-27,18,0,
169,DEN,2023-10-07,14,0,
170,BOS,2023-10-09,19,0,
171,ATL,2023-10-23,10,0,
172,MIA,2023-10-06,14,0,
173,DEN,2023-10-02,5,1,2023-11-21
174,PHI,2023-10-23,4,1,2023-11-07
175,BOS,2023-10-04,20,0,
176,BOS,2023-10-24,10,0,
177,CHI,2023-10-04,19,0,
178,DAL,2023-10-25,14,0,
179,DAL,2023-10-16,12,0,
180,MEM,2023-10-09,10,0,
181,BOS,2023-10-08,16,0,
182,PHI,2023-10-21,12,0,
183,CHI,2023-10-23,11,0,
184,CHI,2023-10-20,19,0,
185,DAL,2023-10-05,12,0,
186,BOS,2023-10-03,3,1,2023-12-24
187,MEM,2023-10-03,11,0,
188,PHX,2023-10-04,8,0,
189,PHX,2023-10-01,12,0,
190,DAL,2023-10-03,17,0,
191,PHX,2023-10-12,7,1,2023-12-31
192,MIL,2023-10-21,19,0,
193,SAC,2023-10-26,7,1,2023-11-29
194,LAL,2023-10-25,18,0,
195,LAL,2023-10-22,17,0,
196,PHX,2023-10-27,4,1,2023-12-19
197,PHI,2023-10-09,7,1,2023-11-15
198,BOS,2023-10-22,10,0,
199,DAL,2023-10-10,19,0,
200,PHX,2023-10-16,13,0,
201,GSW,2023-10-16,12,0,
202,MEM,2023-10-21,3,1,2023-11-23
203,NYK,2023-10-21,17,0,
204,GSW,2023-10-22,15,0,
205,DEN,2023-10-22,7,1,2023-11-13
206,GSW,2023-10-09,20,0,
207,MIL,2023-10-27,17,0,
208,BOS,2023-10-06,10,0,
209,DAL,2023-10-28,9,0,
210,ATL,2023-10-04,17,0,
211,CHI,2023-10-16,19,0,
212,CHI,2023-10-20,20,0,
213,HOU,2023-10-13,9,0,
214,PHX,2023-10-24,6,1,2023-12-13
215,TOR,2023-10-16,5,1,2023-12-28
216,ATL,2023-10-22,15,0,
217,ATL,2023-10-26,14,0,
218,HOU,2023-10-06,16,0,
219,MIA,2023-10-21,8,0,
220,GSW,2023-10-13,19,0,
221,ATL,2023-10-14,13,0,
222,LAL,2023-10-17,5,1,2023-12-19
223,SAC,2023-10-04,8,0,
224,SAC,2023-10-27,6,1,2023-11-13
225,ATL,2023-10-28,4,1,2023-11-13
226,MEM,2023-10-26,8,0,
227,SAC,2023-10-19,16,0,
228,GSW,2023-10-06,20,0,
229,MIL,2023-10-24,7,1,2023-11-28
230,SAC,2023-10-08,4,1,2023-12-29
231,BOS,2023-10-04,3,1,2023-11-26
232,PHI,2023-10-14,8,0,
233,MIL,2023-10-26,10,0,
234,NYK,2023-10-10,17,0,
235,ATL,2023-10-24,16,0,
236,PHX,2023-10-13,20,0,
237,CHI,2023-10-15,13,0,
238,SAC,2023-10-22,12,0,
239,CHI,2023-10-27,3,1,2024-01-08
240,TOR,2023-10-10,14,0,
241,ATL,2023-10-16,20,0,
242,NYK,2023-10-11,13,0,
243,DAL,2023-10-08,9,0,
244,LAL,2023-10-13,8,0,
245,MIL,2023-10-03,12,0,
246,SAC,2023-10-06,7,1,2023-12-03
247,DAL,2023-10-20,17,0,
248,MEM,2023-10-12,8,0,
249,PHI,2023-10-11,3,1,2023-12-04
250,PHX,2023-10-11,19,0,
251,MIA,2023-10-23,12,0,
252,MEM,2023-10-09,6,1,2023-12-26
253,MIA,2023-10-26,12,0,
